Cliente;ID;Tipo;Data da Venda;Categoria;Vendedor;Regional;Duração do Contrato (Meses);Equipe;Valor
Cliente 109;20213624;Serviços;2021-03-17;Upselling;Vendedor 13;Brasil;3;Time 3;35967.0
Cliente 109;20213577;Serviços;2021-03-22;Cross selling;Vendedor 13;Brasil;12;Time 3;1229003.3
Cliente 11;20180046;Serviços;2018-02-27;Novo Logo;Vendedor 3;Brasil;1;Time 1;8990.0
Cliente 110;20202644;Licenciamento;2020-08-31;Novo Logo;Vendedor 12;Colombia;12;Time 10;241650.0
Cliente 111;20202639;Produtos;2020-08-31;Novo Logo;Vendedor 19;Brasil;61;Time 3;626220.0
Cliente 111;20202580;Produtos;2020-08-31;Novo Logo;Vendedor 19;Brasil;53;Time 3;3016440.0
Cliente 112;20203080;Produtos;2020-09-21;Novo Logo;Vendedor 17;Brasil;21;Time 8;91200.0
Cliente 113;20202480;Licenciamento;2020-09-21;Novo Logo;Vendedor 1;Brasil;36;Time 1;1055110.36
Cliente 114;20202412;Serviços;2020-09-24;Novo Logo;Vendedor 18;Brasil;4;Time 1;100000.0
Cliente 115;20202507;Produtos;2020-09-24;Novo Logo;Vendedor 18;Brasil;3;Time 1;195056.92
Cliente 116;20202723;Licenciamento;2020-09-25;Novo Logo;Vendedor 8;Mexico;12;Time 9;1369162.05
Cliente 116;20203155;Licenciamento;2020-12-21;Upselling;Vendedor 8;Mexico;3;Time 9;134025.16
Cliente 116;20213680;Licenciamento;2021-03-26;Upselling;Vendedor 8;Mexico;3;Time 9;134025.16
Cliente 117;20202634;Produtos;2020-09-28;Novo Logo;Vendedor 21;Brasil;36;Time 3;112440.0
Cliente 118;20202872;Serviços;2020-09-30;Cross selling;Vendedor 3;Brasil;12;Time 1;253994.4
Cliente 118;20202689;Produtos;2020-09-30;Novo Logo;Vendedor 3;Brasil;12;Time 1;3398870.55
Cliente 119;20202127;Licenciamento;2020-09-30;Novo Logo;Vendedor 8;Mexico;37;Time 9;2450331.0
Cliente 12;20180107;Serviços;2018-03-01;Upselling;Vendedor 1;Brasil;12;Time 1;200000.0
Cliente 12;20180228;Produtos;2018-07-25;Renovação;Vendedor 1;Brasil;12;Time 1;180000.0
Cliente 12;20180127;Produtos;2018-07-25;Cross selling;Vendedor 1;Brasil;12;Time 1;213832.92
Cliente 12;20190889;Serviços;2019-02-21;Upselling;Vendedor 1;Brasil;12;Time 1;210140.0
Cliente 12;20190849;Produtos;2019-06-05;Renovação;Vendedor 1;Brasil;6;Time 1;90000.0
Cliente 12;20191314;Produtos;2019-06-18;Renovação;Vendedor 1;Brasil;6;Time 1;53458.23
Cliente 12;20202071;Licenciamento;2019-12-27;Upselling;Vendedor 1;Brasil;1;Time 1;126221.01
Cliente 12;20191778;Produtos;2020-01-17;Cross selling;Vendedor 14;Brasil;12;Time 3;298680.0
Cliente 12;20180358;Licenciamento;2020-09-29;Renovação;Vendedor 14;Brasil;12;Time 3;535800.0
Cliente 12;20213708;Serviços;2021-02-25;Cross selling;Vendedor 20;Brasil;12;Time 3;111300.0
Cliente 12;20202994;Produtos;2021-02-25;Cross selling;Vendedor 20;Brasil;12;Time 3;187380.0
Cliente 120;20203124;Produtos;2020-10-01;Upselling;Vendedor 17;Brasil;24;Time 8;1250.0
Cliente 121;20202539;Serviços;2020-10-01;Novo Logo;Vendedor 3;Brasil;2;Time 1;29592.0
Cliente 122;20202572;Serviços;2020-10-01;Novo Logo;Vendedor 3;Brasil;1;Time 1;7182.0
Cliente 123;20202917;Serviços;2020-10-19;Novo Logo;Vendedor 1;Brasil;4;Time 1;332471.3
Cliente 123;20213576;Serviços;2021-03-11;Upselling;Vendedor 13;Brasil;11;Time 3;1219061.58
Cliente 124;20202898;Serviços;2020-10-19;Novo Logo;Vendedor 1;Brasil;12;Time 1;317832.37
Cliente 124;20213541;Serviços;2021-03-03;Upselling;Vendedor 9;Brasil;12;Time 3;342720.0
