"cliente","id","tipo","data_da_venda","categoria","vendedor","regional","duracao_do_contrato_meses","equipe","valor"
"Cliente 10","2020-2113","Serviços","2020-02-18","Upselling","Vendedor 14","Brasil",1,"Time 3","R$ 121.975,34"
"Cliente 10","2020-2161","Serviços","2020-03-17","Upselling","Vendedor 14","Brasil",1,"Time 3","R$ 115.001,93"
"Cliente 10","2020-2162","Serviços","2020-03-30","Upselling","Vendedor 14","Brasil",1,"Time 3","R$ 154.178,48"
"Cliente 10","2020-2233","Serviços","2020-04-01","Upselling","Vendedor 14","Brasil",3,"Time 3","R$ 230.040,00"
"Cliente 10","2020-2234","Serviços","2020-04-08","Upselling","Vendedor 14","Brasil",1,"Time 3","R$ 141.696,00"
"Cliente 10","2020-2175","Serviços","2020-04-09","Upselling","Vendedor 14","Brasil",3,"Time 3","R$ 110.592,00"
"Cliente 10","2020-2341","Serviços","2020-05-19","Upselling","Vendedor 14","Brasil",3,"Time 3","R$ 228.338,88"
"Cliente 10","2020-2398","Serviços","2020-06-09","Upselling","Vendedor 14","Brasil",2,"Time 3","R$ 141.846,88"
"Cliente 10","2020-2401","Serviços","2020-06-09","Upselling","Vendedor 14","Brasil",4,"Time 3","R$ 283.693,76"
"Cliente 10","2020-2399","Serviços","2020-06-19","Upselling","Vendedor 14","Brasil",5,"Time 3","R$ 193.742,08"
"Cliente 10","2020-2337","Serviços","2020-06-30","Upselling","Vendedor 14","Brasil",3,"Time 3","R$ 16.433,48"
"Cliente 10","2020-2471","Serviços","2020-07-07","Upselling","Vendedor 14","Brasil",5,"Time 3","R$ 354.617,20"
"Cliente 10","2020-2605","Serviços","2020-08-24","Renovação","Vendedor 14","Brasil",4,"Time 3","R$ 328.320,00"
"Cliente 10","2020-2583","Serviços","2020-09-28","Upselling","Vendedor 14","Brasil",1,"Time 3","R$ 39.996,60"
"Cliente 10","2020-2594","Produtos","2020-10-19","Upselling","Vendedor 1","Brasil",36,"Time 1","R$ 356.400,00"
"Cliente 10","2021-3488","Serviços","2021-02-10","Upselling","Vendedor 9","Brasil",11,"Time 3","R$ 3.487.357,44"
